"pais","type","cantidad_titulos"
"Morocco","Movie                                                                                               ","6"
"Kuwait","Movie                                                                                               ","5"
"Hong Kong","TV Show                                                                                             ","5"
"Cambodia","Movie                                                                                               ","5"
"Chile","TV Show                                                                                             ","5"
"Ghana","Movie                                                                                               ","5"
"Finland","TV Show                                                                                             ","4"
"Venezuela","Movie                                                                                               ","4"
"Saudi Arabia","TV Show                                                                                             ","4"
"Bangladesh","Movie                                                                                               ","4"
"Pakistan","TV Show                                                                                             ","4"
"Indonesia","TV Show                                                                                             ","4"
"Iran","Movie                                                                                               ","4"
"Iceland","TV Show                                                                                             ","3"
"Algeria","Movie                                                                                               ","3"
"Kuwait","TV Show                                                                                             ","3"
"West Germany","Movie                                                                                               ","3"
"Zimbabwe","Movie                                                                                               ","3"
"Croatia","Movie                                                                                               ","3"
"Soviet Union","Movie                                                                                               ","3"
"Slovenia","Movie                                                                                               ","3"
"Philippines","TV Show                                                                                             ","3"
"Malta","Movie                                                                                               ","2"
"Jordan","TV Show                                                                                             ","2"
"Syria","Movie                                                                                               ","2"
"Guatemala","Movie                                                                                               ","2"
"Georgia","Movie                                                                                               ","2"
"United Kingdom,","Movie                                                                                               ","2"
"Namibia","Movie                                                                                               ","2"
"Cayman Islands","Movie                                                                                               ","2"
"Luxembourg","TV Show                                                                                             ","2"
"Iraq","Movie                                                                                               ","2"
"Greece","TV Show                                                                                             ","2"
"Senegal","Movie                                                                                               ","2"
"West Germany","TV Show                                                                                             ","2"
"Ukraine","TV Show                                                                                             ","2"
"Nepal","Movie                                                                                               ","2"
"Cameroon","Movie                                                                                               ","1"
"Belarus","TV Show                                                                                             ","1"
"Somalia","Movie                                                                                               ","1"
"Botswana","Movie                                                                                               ","1"
"Kazakhstan","Movie                                                                                               ","1"
"Ethiopia","Movie                                                                                               ","1"
"Malawi","Movie                                                                                               ","1"
"Vatican City","Movie                                                                                               ","1"
"Angola","Movie                                                                                               ","1"
"United States,","Movie                                                                                               ","1"
"Afghanistan","Movie                                                                                               ","1"
"Mauritius","TV Show                                                                                             ","1"
"Latvia","Movie                                                                                               ","1"
"Burkina Faso","Movie                                                                                               ","1"
"Syria","TV Show                                                                                             ","1"
"Croatia","TV Show                                                                                             ","1"
"Uganda","Movie                                                                                               ","1"
"Dominican Republic","Movie                                                                                               ","1"
"Cambodia,","Movie                                                                                               ","1"
"United Arab Emirates","TV Show                                                                                             ","1"
"Poland,","Movie                                                                                               ","1"
"Ecuador","Movie                                                                                               ","1"
"Hungary","TV Show                                                                                             ","1"
"Slovakia","Movie                                                                                               ","1"
"Mozambique","Movie                                                                                               ","1"
"Samoa","Movie                                                                                               ","1"
"Paraguay","Movie                                                                                               ","1"
"Lithuania","Movie                                                                                               ","1"
"East Germany","Movie                                                                                               ","1"
"","TV Show                                                                                             ","1"
"Bermuda","Movie                                                                                               ","1"
"Sri Lanka","Movie                                                                                               ","1"
"Malta","TV Show                                                                                             ","1"
"Ukraine","Movie                                                                                               ","1"
"Azerbaijan","TV Show                                                                                             ","1"
"Bahamas","Movie                                                                                               ","1"
"Nicaragua","Movie                                                                                               ","1"
"Mongolia","Movie                                                                                               ","1"
"","Movie                                                                                               ","1"
"Armenia","Movie                                                                                               ","1"
"Jamaica","Movie                                                                                               ","1"
"Albania","Movie                                                                                               ","1"
"Austria","TV Show                                                                                             ","1"
"Liechtenstein","Movie                                                                                               ","1"
"Puerto Rico","TV Show                                                                                             ","1"
"Sudan","Movie                                                                                               ","1"
"Senegal","TV Show                                                                                             ","1"
"Uruguay","TV Show                                                                                             ","1"
"Montenegro","Movie                                                                                               ","1"
"Palestine","Movie                                                                                               ","1"
"Panama","Movie                                                                                               ","1"
"Mauritius","Movie                                                                                               ","1"
"Cyprus","TV Show                                                                                             ","1"
"Switzerland","TV Show                                                                                             ","1"
"Cuba","TV Show                                                                                             ","1"
